id,case_id,occurred_at
1,1001,4/4/2024 13:16
2,1003,2/29/2024 6:38
3,1005,4/16/2024 7:03
4,1007,4/1/2024 15:28
5,1009,2/7/2024 15:56
6,1011,4/28/2024 21:41
7,1013,4/11/2024 15:39
8,1015,4/14/2024 17:46
9,1017,2/29/2024 2:18
10,1019,3/25/2024 17:24
11,1021,3/24/2024 5:56
12,1023,4/27/2024 1:05
13,1025,4/13/2024 4:38
14,1027,4/23/2024 4:50
15,1029,4/8/2024 17:40
16,1031,2/4/2024 10:49
17,1034,3/17/2024 21:41
18,1037,2/4/2024 20:54
19,1039,4/16/2024 20:46
20,1042,4/5/2024 5:11
21,1045,4/17/2024 10:52
22,1047,3/31/2024 0:24
23,1050,4/29/2024 22:40
24,1053,4/25/2024 8:03
25,1056,4/18/2024 8:49
26,1058,3/10/2024 10:57
27,1060,3/13/2024 11:19
